Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Duration (days)
1,1998,1998,112.04165509259259,118.62498842592592,0.9997222222222222,14.999722222222221,6,[],6.583333333333329
2,1998,1998,120.16666666666667,126.29165509259259,4.0,6.999722222222222,6,[],6.12498842592592
3,1998,1998,126.37498842592592,129.24998842592595,8.999722222222221,5.999722222222222,6,[],2.8750000000000284
4,1998,1998,129.70832175925926,136.08332175925926,16.999722222222225,1.9997222222222222,6,[],6.375
5,1998,1998,168.83332175925926,173.37498842592595,19.999722222222225,8.999722222222221,4,"['Fe', 'Si']",4.541666666666686
6,1998,1998,237.95832175925926,244.66666666666666,22.999722222222225,16.0,6,[],6.708344907407394
7,1998,1998,273.95832175925926,285.08332175925926,22.999722222222225,1.9997222222222222,6,[],11.125
8,1998,1998,310.33332175925926,316.83332175925926,7.999722222222222,19.999722222222225,5,['Fe'],6.5
9,1998,1998,318.9166666666667,326.2916666666667,22.0,7.0,6,[],7.375
10,1999,1999,23.208333333333332,32.37498842592593,5.0,8.999722222222221,4,"['Fe', 'Si']",9.166655092592595
11,1999,1999,114.79165509259259,120.08333333333333,18.999722222222225,2.0,4,"['Fe', 'Si']",5.291678240740737
12,1999,1999,125.70833333333333,134.75,17.0,18.0,4,"['Fe', 'Si']",9.041666666666671
13,1999,1999,155.45833333333334,161.5,11.0,12.0,6,[],6.041666666666657
14,2000,2000,95.82354166666667,103.1783912037037,19.765,4.2813888888888885,6,[],7.354849537037026
15,2000,2000,159.5655671296296,167.33594907407408,13.573611111111111,8.062777777777779,4,"['Fe', 'Si']",7.770381944444466
16,2000,2000,196.5475810185185,202.6142939814815,13.141944444444444,14.743055555555555,6,[],6.066712962962981
17,2000,2000,204.02709490740742,207.51752314814814,0.6502777777777778,12.420555555555556,4,"['Fe', 'Si']",3.4904282407407266
18,2000,2000,256.3420949074074,270.4284953703704,8.210277777777778,10.283888888888889,6,[],14.086400462963013
19,2000,2000,289.9167708333334,296.52368055555553,22.0025,12.568333333333333,6,[],6.606909722222156
20,2000,2000,299.2661574074074,303.0059143518518,6.387777777777778,0.14194444444444443,5,['Fe'],3.739756944444423
21,2000,2000,305.04200231481485,311.77356481481485,1.0080555555555555,18.565555555555555,4,"['Fe', 'Si']",6.7315624999999955
22,2000,2000,313.97585648148146,321.16449074074075,23.420555555555556,3.947777777777778,6,[],7.188634259259288
23,2000,2000,330.6800925925926,334.17053240740745,16.322222222222223,4.092777777777777,6,[],3.490439814814863
24,2000,2000,334.3367476851852,342.35643518518515,8.081944444444444,8.554444444444446,4,"['Fe', 'Si']",8.019687499999975
25,2001,2001,22.58332175925926,25.75,13.999722222222221,18.0,4,"['N', 'Si']",3.1666782407407403
26,2001,2001,29.166666666666668,36.041666666666664,4.0,1.0,6,[],6.8749999999999964
27,2001,2001,89.58332175925926,92.20832175925926,13.999722222222221,4.999722222222222,5,['Si'],2.625
28,2001,2001,93.25,97.49998842592592,6.0,11.999722222222221,6,[],4.24998842592592
29,2001,2001,97.625,100.33333333333333,15.0,8.0,5,['Fe'],2.7083333333333286
30,2001,2001,101.45832175925926,105.625,10.999722222222221,15.0,6,[],4.166678240740737
31,2001,2001,105.83332175925926,108.37498842592592,19.999722222222225,8.999722222222221,6,[],2.541666666666657
32,2001,2001,108.45832175925926,116.62498842592592,10.999722222222221,14.999722222222221,6,[],8.166666666666657
33,2001,2001,127.875,133.5416550925926,21.0,12.999722222222221,6,[],5.666655092592606
34,2001,2001,167.29166666666666,173.08333333333334,7.0,2.0,5,['Fe'],5.791666666666686
35,2001,2001,222.24998842592595,226.74998842592595,5.999722222222222,17.999722222222225,5,['Fe'],4.5
36,2001,2001,228.6666550925926,232.5,15.999722222222221,12.0,6,[],3.833344907407394
37,2001,2001,233.54166666666666,239.62498842592595,13.0,14.999722222222221,5,['Fe'],6.083321759259292
38,2001,2001,269.1249884259259,274.1249884259259,2.999722222222222,2.999722222222222,6,[],5.0
39,2001,2001,274.9583333333333,280.2916666666667,23.0,7.0,6,[],5.333333333333371
40,2001,2001,283.08332175925926,288.4166550925926,1.9997222222222222,9.999722222222221,4,"['Fe', 'Si']",5.333333333333314
41,2001,2001,293.2916666666667,298.4583333333333,7.0,11.0,5,['N'],5.166666666666629
42,2001,2001,309.9583333333333,320.2083333333333,23.0,5.0,6,[],10.25
43,2001,2001,323.70832175925926,326.9999884259259,16.999722222222225,23.999722222222225,4,"['Fe', 'Si']",3.2916666666666288
44,2001,2001,328.08332175925926,343.2916666666667,1.9997222222222222,7.0,6,[],15.208344907407422
45,2001,2001,360.4166666666667,364.4166550925926,10.0,9.999722222222221,6,[],3.999988425925892
46,2001,2002,365.75,3.5416550925925927,18.0,12.999722222222221,6,[],2.7916550925925776
47,2002,2002,3.75,9.291655092592594,18.0,6.999722222222222,5,['Fe'],5.541655092592594
48,2002,2002,10.916666666666666,15.416666666666666,22.0,10.0,5,['Fe'],4.5
49,2002,2002,15.5,21.166655092592592,12.0,3.999722222222222,4,"['Fe', 'Si']",5.666655092592592
50,2002,2002,51.291666666666664,60.208321759259256,7.0,4.999722222222222,6,[],8.916655092592592
51,2002,2002,77.99998842592592,81.62498842592592,23.999722222222225,14.999722222222221,5,['Fe'],3.625
52,2002,2002,107.54166666666667,111.08332175925926,13.0,1.9997222222222222,6,[],3.541655092592592
53,2002,2002,111.79165509259259,119.91666666666667,18.999722222222225,22.0,6,[],8.12501157407408
54,2002,2002,143.0,148.62498842592595,0.0,14.999722222222221,6,[],5.624988425925949
55,2002,2002,198.25,202.75,6.0,18.0,6,[],4.5
56,2002,2002,207.375,215.79166666666666,9.0,19.0,6,[],8.416666666666657
57,2002,2002,216.0,220.79166666666666,0.0,19.0,6,[],4.791666666666657
58,2002,2002,226.45832175925926,228.54166666666666,10.999722222222221,13.0,4,"['Fe', 'Si']",2.083344907407394
59,2002,2002,231.33333333333334,234.25,8.0,6.0,6,[],2.916666666666657
60,2002,2002,236.99998842592595,244.2916550925926,23.999722222222225,6.999722222222222,6,[],7.291666666666657
61,2002,2002,250.29166666666666,263.1249884259259,7.0,2.999722222222222,5,['Fe'],12.833321759259235
62,2002,2002,314.0,320.95832175925926,0.0,22.999722222222225,6,[],6.958321759259263
63,2003,2003,149.33332175925926,156.25,7.999722222222222,6.0,6,[],6.916678240740737
64,2003,2003,169.95832175925926,178.25,22.999722222222225,6.0,5,['Fe'],8.291678240740737
65,2003,2003,303.33332175925926,306.375,7.999722222222222,9.0,6,[],3.041678240740737
66,2003,2003,307.45832175925926,316.0833333333333,10.999722222222221,2.0,6,[],8.625011574074051
67,2003,2003,327.3749884259259,331.875,8.999722222222221,21.0,4,"['Fe', 'Si']",4.500011574074108
68,2003,2003,336.625,344.9999884259259,15.0,23.999722222222225,5,['Fe'],8.374988425925892
69,2004,2004,102.26422453703704,108.70491898148148,6.341388888888889,16.918055555555558,6,[],6.440694444444446
70,2004,2004,207.8083912037037,212.25454861111112,19.40138888888889,6.109166666666666,6,[],4.446157407407412
71,2004,2004,213.7920023148148,220.73131944444447,19.008055555555554,17.551666666666666,4,"['Fe', 'Si']",6.939317129629671
72,2004,2004,257.1731481481482,262.78277777777777,4.155555555555556,18.78666666666667,5,['Fe'],5.6096296296295804
73,2004,2004,303.7954166666667,308.947962962963,19.09,22.75111111111111,5,['Si'],5.152546296296293
74,2004,2004,312.85393518518515,326.1092824074074,20.494444444444447,2.622777777777778,6,[],13.25534722222227
75,2005,2005,16.749988425925924,20.374988425925924,17.999722222222225,8.999722222222221,6,[],3.625
76,2005,2005,20.958333333333332,26.08332175925926,23.0,1.9997222222222222,6,[],5.1249884259259275
77,2005,2005,134.4166550925926,142.74998842592595,9.999722222222221,17.999722222222225,4,"['Fe', 'Si']",8.333333333333343
78,2005,2005,168.0,173.20832175925926,0.0,4.999722222222222,4,"['N', 'Si']",5.208321759259263
79,2005,2005,196.33333333333334,203.74998842592595,8.0,17.999722222222225,6,[],7.416655092592606
80,2005,2005,211.12498842592595,215.83332175925926,2.999722222222222,19.999722222222225,5,['Fe'],4.708333333333314
81,2005,2005,235.54166666666666,241.9166550925926,13.0,21.999722222222225,6,[],6.374988425925949
82,2005,2005,253.74998842592595,256.9999884259259,17.999722222222225,23.999722222222225,6,[],3.249999999999943
83,2005,2005,257.70832175925926,261.3749884259259,16.999722222222225,8.999722222222221,5,['Fe'],3.6666666666666288
84,2005,2005,261.58332175925926,266.9583333333333,13.999722222222221,23.0,4,"['Fe', 'Si']",5.375011574074051
85,2006,2006,341.7916666666667,347.25,19.0,6.0,6,[],5.458333333333314
86,2006,2006,347.9166550925926,357.1666666666667,21.999722222222225,4.0,6,[],9.250011574074108
87,2011,2011,68.83333333333333,75.875,20.0,21.0,5,['Fe'],7.041666666666671
88,2011,2011,80.66665509259259,87.25,15.999722222222221,6.0,4,"['Fe', 'Si']",6.583344907407408
89,2011,2011,158.6666550925926,162.6666550925926,15.999722222222221,15.999722222222221,5,['Si'],4.0
90,2011,2011,164.1666550925926,166.58333333333334,3.999722222222222,14.0,5,['Fe'],2.416678240740737
91,2011,2011,217.29166666666666,220.79166666666666,7.0,19.0,6,[],3.5
92,2011,2011,268.95832175925926,284.20832175925926,22.999722222222225,4.999722222222222,5,['Fe'],15.25
93,2011,2011,331.0416550925926,340.45832175925926,0.9997222222222222,10.999722222222221,6,[],9.416666666666686
94,2012,2012,24.311122685185186,27.760011574074074,7.466944444444445,18.240277777777777,6,[],3.448888888888888
95,2012,2012,27.926226851851855,36.02902777777778,22.229444444444443,0.6966666666666667,6,[],8.102800925925923
96,2012,2012,67.73383101851852,70.97494212962962,17.611944444444447,23.398611111111112,6,[],3.2411111111111097
97,2012,2012,73.67587962962963,81.77868055555555,16.22111111111111,18.688333333333333,6,[],8.10280092592592
98,2012,2012,138.33207175925926,143.56773148148147,7.969722222222222,13.625555555555556,6,[],5.235659722222209
99,2012,2012,168.08390046296296,174.56613425925923,2.013611111111111,13.587222222222223,4,"['Fe', 'Si']",6.482233796296271
100,2012,2012,188.6525462962963,194.17907407407407,15.661111111111111,4.297777777777777,6,[],5.526527777777773
101,2012,2012,195.7165277777778,199.08230324074074,17.196666666666665,1.975277777777778,4,"['Fe', 'Si']",3.3657754629629437
102,2012,2012,199.33162037037036,208.72255787037037,7.958888888888889,17.341388888888886,6,[],9.390937500000007
103,2012,2012,245.57991898148148,250.4000462962963,13.918055555555554,9.601111111111111,4,"['Fe', 'Si']",4.820127314814812
104,2013,2013,75.66665509259259,82.66665509259259,15.999722222222221,15.999722222222221,4,"['Fe', 'Si']",7.0
105,2013,2013,101.54165509259259,108.54165509259259,12.999722222222221,12.999722222222221,6,[],7.0
106,2013,2013,137.4166550925926,142.625,9.999722222222221,15.0,5,['Fe'],5.208344907407394
107,2013,2013,143.16666666666666,155.20832175925926,4.0,4.999722222222222,6,[],12.041655092592606
108,2013,2013,174.66666666666666,179.5,16.0,12.0,5,['Fe'],4.833333333333343
109,2013,2013,274.25,282.7916550925926,6.0,18.999722222222225,5,['Fe'],8.541655092592578
110,2013,2013,301.9166550925926,307.7916550925926,21.999722222222225,18.999722222222225,4,"['N', 'Si']",5.875
111,2014,2014,8.874988425925928,20.70832175925926,20.999722222222225,16.999722222222225,6,[],11.833333333333332
112,2014,2014,59.458333333333336,74.79166666666667,11.0,19.0,6,[],15.333333333333336
113,2014,2014,109.70832175925926,117.875,16.999722222222225,21.0,4,"['Fe', 'Si']",8.166678240740737
114,2014,2014,250.75,254.0416550925926,18.0,0.9997222222222222,4,"['Fe', 'Si']",3.291655092592606
115,2014,2014,255.1666550925926,263.4166550925926,3.999722222222222,9.999722222222221,4,"['N', 'Si']",8.249999999999972
116,2014,2014,306.0,312.75,0.0,18.0,5,['Fe'],6.75
117,2015,2015,169.7916550925926,172.29166666666666,18.999722222222225,7.0,4,"['Fe', 'Si']",2.500011574074051
118,2015,2015,173.20832175925926,176.95833333333334,4.999722222222222,23.0,5,['Fe'],3.7500115740740796
119,2015,2015,179.41666666666666,182.7916550925926,10.0,18.999722222222225,4,"['Fe', 'Si']",3.374988425925949
120,2017,2017,195.70833333333334,202.20833333333334,17.0,5.0,5,['Fe'],6.5
121,2017,2017,250.54166666666666,253.6666550925926,13.0,15.999722222222221,6,[],3.124988425925949
122,2017,2017,254.33333333333334,261.1249884259259,8.0,2.999722222222222,6,[],6.791655092592549
123,2022,2022,239.45832175925926,245.6666550925926,10.999722222222221,15.999722222222221,5,['Fe'],6.208333333333343
124,2023,2023,57.208321759259256,62.833321759259256,4.999722222222222,19.999722222222225,4,"['Fe', 'Si']",5.625
125,2023,2023,128.74998842592595,136.83333333333334,17.999722222222225,20.0,6,[],8.083344907407394
126,2023,2023,199.20833333333334,205.0,5.0,0.0,5,['Fe'],5.791666666666657
127,2023,2023,210.24998842592595,215.74998842592595,5.999722222222222,17.999722222222225,5,['Fe'],5.5
128,2023,2023,220.625,229.2916550925926,15.0,6.999722222222222,5,['Fe'],8.666655092592606
129,2023,2023,244.41666666666666,246.5416550925926,10.0,12.999722222222221,4,"['Fe', 'Si']",2.124988425925949
130,2024,2024,29.339016203703704,32.91255787037037,8.136388888888888,21.90138888888889,4,"['Fe', 'Si']",3.5735416666666673
131,2024,2024,41.14002314814815,43.425428240740736,3.3605555555555555,10.210277777777778,6,[],2.2854050925925833
132,2024,2024,43.757847222222225,52.982569444444444,18.188333333333333,23.581666666666667,6,[],9.22472222222222
133,2024,2024,75.7119675925926,81.86178240740739,17.08722222222222,20.68277777777778,4,"['Fe', 'Si']",6.149814814814789
134,2024,2024,83.85631944444444,98.15049768518519,20.551666666666666,3.6119444444444446,6,[],14.294178240740749
135,2024,2024,131.18498842592592,134.30144675925925,4.439722222222223,7.2347222222222225,6,[],3.116458333333327
136,2024,2024,134.71697916666668,140.9499074074074,17.2075,22.797777777777778,6,[],6.232928240740733
137,2024,2024,159.8979976851852,163.05600694444442,21.551944444444445,1.3441666666666665,6,[],3.1580092592592166
